РАЗМЕРЫ РАБОЧЕЙ КАМЕРЫ (ММ):  | Передняя левая центральная (мм)
РАЗМЕРЫ УПАКОВКИ (ММ):  | Передняя левая центральная (мм)
РАЗМЕРЫ ЦЕНТРАЛЬНОЙ MULTIZONE:  | Передняя левая центральная (мм)
РАСПРЕДЕЛЕНИЕ ВОЛН БЕЗ ВРАЩАЮЩЕГОСЯ СТОЛА:  | Без мотора
С УДАЛЕННЫМ МОТОРОМ:  | Без мотора
СВОБОДНАЯ ЗОНА КОНФОРКА (ММ/КВТ):  | Передняя левая центральная (мм)
СИСТЕМА ДВИГАТЕЛЯ:  | Без мотора
СТЕКЛЯННАЯ ТАРЕЛКА ПОВОРОТНОГО СТОЛА, ММ:  | Передняя левая центральная (мм)
ТИП ДВИГАТЕЛЯ:  | Без мотора
ТИП ЛЕВОЙ ЧАШИ:  | Передняя левая центральная (мм)
ТИП МОТОРА:  | Без мотора
ТОЛЩИНА ДНА (ММ):  | Передняя левая центральная (мм)
ТОЛЩИНА СТАЛИ В ЛЕВОЙ ЧАШЕ (ММ):  | Передняя левая центральная (мм)
ТОЛЩИНА СТАЛИ В ЧАШЕ (ММ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ (КВТ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ (ММ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ БЛИЖНЯЯ, ВТ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ БЛИЖНЯЯ, СМ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ДАЛЬНЯЯ, ВТ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ДАЛЬНЯЯ, СМ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ЗАДНЯЯ СЛЕВА (КВТ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ЛЕВАЯ (КВТ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ЛЕВАЯ, ВТ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ЛЕВАЯ, СМ: *Передняя левая центральная (мм) | 
ЦЕНТРАЛЬНАЯ ПЕРЕДНЯЯ СЛЕВА (КВТ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ПРАВАЯ (КВТ):  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ПРАВАЯ, ВТ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ ПРАВАЯ, СМ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ, КВТ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ, ММ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНАЯ, СМ:  | Передняя левая центральная (мм)
ЦЕНТРАЛЬНОЕ УПРАВЛЕНИЕ SIMPLICITY С ВЫБОРОМ РЕЖИМА ПО ПРОДУКТУ:  | Передняя левая центральная (мм)
ШИРИНА ВЫТЯЖКИ СО СТЕКЛЯННОЙ ПОЛКОЙ, ММ:  | Передняя левая центральная (мм)
ШИРИНА НИШИ ДЛЯ ВСТР. (ММ):  | Передняя левая центральная (мм)
ШИРИНА ОТВЕРСТИЯ ДЛЯ ТОСТА (ММ):  | Передняя левая центральная (мм)
ШИРИНА С ДВЕРЦЕЙ, ОТКРЫТОЙ НА 90° (ММ):  | Передняя левая центральная (мм)
ШИРИНА С УЧЁТОМ ОТКРЫТОЙ ДВЕРЦЫ 90 ГРАДУСОВ (ММ):  | Передняя левая центральная (мм)
ШИРИНА УПАКОВКИ (ММ):  | Передняя левая центральная (мм)
